tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
2076,55:19.8,29:56.4,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,45256,Customer,1969,0
405,58:29.9,05:15.1,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,28364,Subscriber,1981,2
1347,05:51.9,28:19.2,3281,Leonard Gordon Park,40.74590997,-74.05727148,3281,Leonard Gordon Park,40.74590997,-74.05727148,42453,Customer,1969,0
624,11:53.0,22:17.6,3186,Grove St PATH,40.71958612,-74.04311746,3638,Washington St,40.7242941,-74.0354826,40285,Customer,1969,0
558,18:04.2,27:22.2,3202,Newport PATH,40.7272235,-74.0337589,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42525,Subscriber,1965,1
1494,29:22.2,54:16.9,3638,Washington St,40.7242941,-74.0354826,3638,Washington St,40.7242941,-74.0354826,42382,Customer,1969,0
300,32:03.5,37:04.4,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,42575,Subscriber,1959,1
530,32:25.2,41:15.7,3276,Marin Light Rail,40.71458404,-74.04281706,3202,Newport PATH,40.7272235,-74.0337589,45967,Subscriber,1988,1
1165,36:20.4,55:45.6,3280,Astor Place,40.7192822,-74.07126188,3211,Newark Ave,40.72152515,-74.04630454,45264,Customer,1969,0
240,41:30.3,45:30.4,3185,City Hall,40.7177325,-74.043845,3481,York St,40.71649,-74.04105,48923,Subscriber,1980,2
1665,42:04.8,09:50.8,3214,Essex Light Rail,40.7127742,-74.0364857,3214,Essex Light Rail,40.7127742,-74.0364857,44710,Subscriber,1960,1
427,42:38.2,49:45.8,3211,Newark Ave,40.72152515,-74.04630454,3638,Washington St,40.7242941,-74.0354826,43139,Customer,1969,0
465,45:57.8,53:42.9,3483,Montgomery St,40.71942,-74.05099,3681,Grand St,40.71517768,-74.03768331,33084,Subscriber,1984,1
3476,46:02.9,43:59.7,3677,Glenwood Ave,40.72755147,-74.07106072,3186,Grove St PATH,40.71958612,-74.04311746,48857,Customer,1969,0
3040,49:04.0,39:45.0,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,42157,Subscriber,1971,1
437,51:41.3,58:59.2,3199,Newport Pkwy,40.7287448,-74.0321082,3275,Columbus Drive,40.7183552,-74.03891444,45256,Customer,1969,0
233,52:55.8,56:49.5,3481,York St,40.71649,-74.04105,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,40306,Subscriber,1985,1
893,54:21.5,09:15.3,3638,Washington St,40.7242941,-74.0354826,3276,Marin Light Rail,40.71458404,-74.04281706,40440,Subscriber,1990,1
958,56:04.9,12:03.4,3677,Glenwood Ave,40.72755147,-74.07106072,3481,York St,40.71649,-74.04105,44762,Subscriber,2001,1
